id  ; name         ; slogan
 499; Babbleopia   ; envisioneer B2C action-items
 500; Quatz        ; architect back-end infomediaries
 501; Jabbertype   ; optimize e-business portals
 502; Skyvu        ; aggregate B2B mindshare
 503; Dynabox      ; engage web-enabled e-services
 504; Skimia       ; reintermediate out-of-the-box synergies
 505; Mudo         ; utilize granular eyeballs
 506; Meejo        ; engage dot-com applications
 507; Blogtag      ; generate proactive users
 508; Bluejam      ; utilize distributed web services
 509; Skyvu        ; scale real-time e-business
 510; Twitterbridge; streamline cross-media platforms
 511; Livetube     ; target ubiquitous models
 512; Photolist    ; synthesize vertical action-items
 513; Chatterpoint ; revolutionize value-added models
 514; Layo         ; cultivate proactive schemas
 515; Browsecat    ; unleash visionary systems
 516; Yakitri      ; reintermediate integrated infomediaries
 517; Twitterlist  ; engineer end-to-end initiatives
 518; Aivee        ; morph granular infomediaries
 519; Topicware    ; syndicate integrated platforms
 520; Topdrive     ; matrix cross-media experiences
 521; Thoughtmix   ; synergize customized interfaces
 522; Skidoo       ; grow rich solutions
 523; Aimbo        ; incubate one-to-one metrics
 524; Browsezoom   ; deliver B2C mindshare
 525; DabZ         ; deploy granular e-markets
 526; Flipbug      ; maximize compelling convergence
 527; Quatz        ; enhance seamless content
 528; Dabjam       ; monetize out-of-the-box markets
 529; Agivu        ; unleash rich models
 530; Reallinks    ; maximize leading-edge e-tailers
 531; Mydo         ; generate impactful networks
 532; Tagchat      ; transform collaborative channels
 533; Meedoo       ; benchmark sticky convergence
 534; Demimbu      ; scale enterprise metrics
 535; Photolist    ; deliver distributed convergence
 536; Skaboo       ; utilize holistic content
 537; Linkbridge   ; leverage wireless systems
 538; Aimbu        ; evolve 24/7 schemas
 539; Jaxworks     ; repurpose next-generation vortals
 540; Tagfeed      ; engineer proactive technologies
 541; Katz         ; iterate collaborative e-tailers
 542; Livefish     ; target bricks-and-clicks paradigms
 543; Twinder      ; aggregate plug-and-play experiences
 544; Jayo         ; reinvent ubiquitous methodologies
 545; Blogpad      ; aggregate B2C applications
 546; Kimia        ; exploit clicks-and-mortar metrics
 547; Pixope       ; benchmark interactive ROI
 548; Jetpulse     ; deliver wireless deliverables
 549; Yakitri      ; transition sticky web services
 550; Feedbug      ; embrace 24/365 channels
 551; Mudo         ; brand innovative technologies
 552; Twimbo       ; innovate wireless convergence
 553; Leexo        ; whiteboard world-class models
 554; Kazio        ; incubate turn-key eyeballs
 555; Voomm        ; recontextualize user-centric e-business
 556; Voonyx       ; disintermediate efficient models
 557; Gigazoom     ; embrace revolutionary interfaces
 558; Quimm        ; facilitate web-enabled interfaces
 559; Riffpedia    ; synergize back-end web-readiness
 560; Camido       ; cultivate scalable initiatives
 561; DabZ         ; deploy end-to-end relationships
 562; Jetwire      ; innovate mission-critical e-business
 563; Zoomcast     ; extend global applications
 564; Shufflebeat  ; disintermediate cross-media initiatives
 565; Voonder      ; integrate strategic relationships
 566; Quatz        ; embrace impactful niches
 567; Izio         ; grow sexy infomediaries
 568; Centidel     ; exploit bricks-and-clicks relationships
 569; Meezzy       ; repurpose global eyeballs
 570; Fivechat     ; synthesize e-business technologies
 571; Bubblebox    ; morph user-centric experiences
 572; Izio         ; cultivate distributed action-items
 573; Edgepulse    ; integrate scalable e-markets
 574; Browsebug    ; redefine cross-platform e-services
 575; Ntag         ; redefine distributed supply-chains
 576; Oozz         ; redefine viral web services
 577; Linklinks    ; empower scalable channels
 578; Agivu        ; unleash visionary networks
 579; Buzzshare    ; engage turn-key relationships
 580; Buzzbean     ; unleash leading-edge mindshare
 581; Geba         ; seize granular users
 582; Thoughtstorm ; grow compelling supply-chains
 583; Midel        ; scale viral networks
 584; Dabtype      ; optimize revolutionary relationships
 585; Livefish     ; engineer plug-and-play vortals
 586; Aibox        ; redefine end-to-end niches
 587; Youopia      ; mesh dynamic networks
 588; Camido       ; reinvent collaborative niches
 589; Skibox       ; facilitate dot-com schemas
 590; Zava         ; streamline synergistic infrastructures
 591; Dynazzy      ; target end-to-end interfaces
 592; Demivee      ; aggregate user-centric markets
 593; Flashdog     ; architect wireless markets
 594; Twinte       ; streamline dynamic e-markets
 595; Jetwire      ; facilitate leading-edge action-items
 596; Dynabox      ; e-enable visionary deliverables
 597; Twimbo       ; mesh back-end convergence
 598; Flashspan    ; harness rich experiences
 599; Gabtune      ; productize synergistic initiatives
 600; Demivee      ; recontextualize compelling synergies
 601; Zoomcast     ; expedite real-time models
 602; Oyondu       ; syndicate back-end e-tailers
 603; Trudeo       ; benchmark magnetic interfaces
 604; Dabtype      ; mesh interactive communities
 605; Centizu      ; streamline one-to-one applications
 606; Riffwire     ; harness interactive e-business
 607; Gabvine      ; leverage granular deliverables
 608; Zoombeat     ; optimize global e-markets
 609; Dynabox      ; reinvent collaborative functionalities
 610; Jatri        ; embrace 24/7 networks
 611; Blogspan     ; expedite integrated bandwidth
 612; Jazzy        ; repurpose best-of-breed bandwidth
 613; Browseblab   ; scale extensible action-items
 614; Fiveclub     ; innovate dot-com infrastructures
 615; Photolist    ; revolutionize B2B functionalities
 616; Feedspan     ; strategize holistic bandwidth
 617; Divanoodle   ; empower open-source users
 618; Roodel       ; generate clicks-and-mortar initiatives
 619; Dabjam       ; synergize enterprise action-items
 620; Zoonoodle    ; innovate visionary mindshare
 621; Tekfly       ; productize interactive content
 622; Jabberstorm  ; target e-business markets
 623; Realpoint    ; engage sexy channels
 624; Realbridge   ; unleash plug-and-play ROI
 625; Dazzlesphere ; deliver enterprise communities
 626; Mynte        ; disintermediate killer infrastructures
 627; Yamia        ; iterate real-time interfaces
 628; Mynte        ; seize cross-media supply-chains
 629; Dabvine      ; morph plug-and-play web-readiness
 630; Skivee       ; seize open-source e-services
 631; Wordtune     ; leverage ubiquitous applications
 632; Skyndu       ; productize B2C markets
 633; Podcat       ; exploit integrated convergence
 634; Jayo         ; scale clicks-and-mortar users
 635; Talane       ; orchestrate user-centric deliverables
 636; Skinte       ; synergize 24/7 markets
 637; Browsedrive  ; repurpose web-enabled models
 638; Ozu          ; incentivize bricks-and-clicks e-business
 639; Kimia        ; exploit killer bandwidth
 640; Mydo         ; deliver extensible models
 641; Fatz         ; enable value-added web services
 642; Buzzdog      ; optimize strategic channels
 643; Janyx        ; recontextualize dot-com e-markets
 644; Linktype     ; exploit front-end metrics
 645; Skinder      ; engage extensible paradigms
 646; Thoughtstorm ; transform dynamic solutions
 647; Plambee      ; visualize clicks-and-mortar networks
 648; Twinte       ; embrace 24/7 initiatives
 649; Myworks      ; reintermediate granular applications
 650; Gigazoom     ; target value-added experiences
 651; Twinte       ; incentivize open-source schemas
 652; Realfire     ; transform viral vortals
 653; Buzzshare    ; benchmark compelling solutions
 654; Gabtune      ; drive transparent functionalities
 655; Jamia        ; optimize compelling infrastructures
 656; Skiptube     ; repurpose holistic models
 657; Demivee      ; generate next-generation eyeballs
 658; Ntag         ; deploy visionary experiences
 659; Babblestorm  ; embrace granular action-items
 660; Devcast      ; empower front-end technologies
 661; Eimbee       ; facilitate strategic bandwidth
 662; Skibox       ; synthesize killer e-services
 663; Oodoo        ; drive holistic relationships
 664; Trilith      ; synthesize strategic solutions
 665; Wikizz       ; monetize magnetic partnerships
 666; Trilia       ; reinvent mission-critical supply-chains
 667; Demivee      ; generate magnetic bandwidth
 668; Thoughtmix   ; embrace wireless technologies
 669; Topicshots   ; matrix robust ROI
 670; Yambee       ; synergize collaborative synergies
 671; Skinix       ; seize distributed solutions
 672; Divape       ; optimize back-end vortals
 673; Realfire     ; implement holistic supply-chains
 674; Devpulse     ; maximize 24/7 bandwidth
 675; Flashpoint   ; recontextualize strategic vortals
 676; Jaloo        ; enable scalable synergies
 677; Cogilith     ; reinvent rich metrics
 678; Meevee       ; redefine front-end ROI
 679; Realbridge   ; synergize seamless mindshare
 680; Meetz        ; reintermediate leading-edge schemas
 681; Innotype     ; target end-to-end infrastructures
 682; Yotz         ; transform next-generation interfaces
 683; Fivespan     ; envisioneer virtual infrastructures
 684; Kwinu        ; synthesize vertical niches
 685; Ainyx        ; enable holistic solutions
 686; Quatz        ; strategize synergistic mindshare
 687; Flashdog     ; productize turn-key deliverables
 688; Twimbo       ; empower bricks-and-clicks action-items
 689; Mynte        ; expedite granular convergence
 690; Dynava       ; embrace sticky ROI
 691; Pixonyx      ; implement innovative e-commerce
 692; Realbuzz     ; extend collaborative systems
 693; Yakitri      ; whiteboard magnetic ROI
 694; Pixoboo      ; incubate open-source e-services
 695; Mybuzz       ; seize turn-key bandwidth
 696; Yata         ; monetize next-generation content
 697; Gigashots    ; repurpose killer portals
 698; Wordpedia    ; strategize integrated channels
 699; Ozu          ; grow impactful infomediaries
 700; Bubbletube   ; e-enable value-added niches
 701; Lazzy        ; redefine killer functionalities
 702; Edgeclub     ; synthesize magnetic functionalities
 703; Wordware     ; optimize enterprise markets
 704; Flipstorm    ; envisioneer user-centric vortals
 705; Twitterwire  ; architect turn-key portals
 706; Realfire     ; engage bricks-and-clicks convergence
 707; Tagcat       ; enhance rich vortals
 708; Centimia     ; target strategic platforms
 709; Nlounge      ; revolutionize efficient bandwidth
 710; Feedmix      ; implement visionary portals
 711; Flipopia     ; syndicate visionary content
 712; Divape       ; architect wireless synergies
 713; Vinder       ; matrix open-source models
 714; Voonix       ; strategize proactive mindshare
 715; Feedfire     ; facilitate impactful relationships
 716; Eidel        ; cultivate interactive portals
 717; Bubblemix    ; disintermediate world-class users
 718; Avavee       ; architect turn-key synergies
 719; Viva         ; recontextualize one-to-one architectures
 720; Bluezoom     ; strategize clicks-and-mortar partnerships
 721; Tagpad       ; synergize cutting-edge models
 722; Skaboo       ; scale robust convergence
 723; Jabberstorm  ; incubate out-of-the-box relationships
 724; Gigashots    ; aggregate open-source e-commerce
 725; Skimia       ; whiteboard world-class technologies
 726; Yadel        ; cultivate value-added infomediaries
 727; Oyondu       ; revolutionize transparent markets
 728; Shuffletag   ; synergize sexy markets
 729; Trudoo       ; matrix killer markets
 730; Omba         ; streamline robust methodologies
 731; Jabbertype   ; evolve efficient vortals
 732; Flashdog     ; facilitate interactive methodologies
 733; Trupe        ; brand world-class bandwidth
 734; LiveZ        ; morph best-of-breed metrics
 735; Trudoo       ; orchestrate leading-edge synergies
 736; Yombu        ; syndicate plug-and-play vortals
 737; Browsetype   ; disintermediate virtual e-business
 738; Zoovu        ; reintermediate back-end paradigms
 739; Rhynoodle    ; innovate world-class mindshare
 740; Jayo         ; architect real-time eyeballs
 741; Innotype     ; synthesize granular models
 742; Leexo        ; expedite customized synergies
 743; Photojam     ; revolutionize bricks-and-clicks networks
 744; Jabbercube   ; strategize plug-and-play vortals
 745; Vinder       ; streamline front-end partnerships
 746; Tazzy        ; enable visionary interfaces
 747; Flashset     ; embrace real-time channels
 748; Tekfly       ; evolve viral applications
 749; Tazz         ; productize bricks-and-clicks initiatives
 750; Gabtune      ; transform frictionless technologies
 751; Aimbu        ; deliver distributed supply-chains
 752; LiveZ        ; generate robust functionalities
 753; Rhycero      ; revolutionize ubiquitous partnerships
 754; Zoombox      ; morph magnetic applications
 755; Mynte        ; e-enable out-of-the-box models
 756; Buzzdog      ; whiteboard magnetic web services
 757; Jaxnation    ; reintermediate rich infomediaries
 758; Eazzy        ; innovate front-end e-services
 759; Realfire     ; e-enable dot-com content
 760; Buzzdog      ; architect intuitive supply-chains
 761; Shuffledrive ; whiteboard best-of-breed e-business
 762; Zava         ; incentivize dot-com content
 763; Tagopia      ; recontextualize cutting-edge vortals
 764; Fanoodle     ; e-enable rich convergence
 765; Photobug     ; embrace impactful mindshare
 766; Gabvine      ; innovate dynamic architectures
 767; Twimm        ; redefine customized interfaces
 768; Zoomlounge   ; envisioneer leading-edge channels
 769; Kayveo       ; productize enterprise convergence
 770; Wikizz       ; strategize world-class architectures
 771; Trunyx       ; extend holistic mindshare
 772; Vinder       ; matrix clicks-and-mortar web-readiness
 773; Trupe        ; iterate rich platforms
 774; Livetube     ; morph sticky systems
 775; Rooxo        ; expedite out-of-the-box schemas
 776; Oyoba        ; iterate vertical schemas
 777; Twitterlist  ; seize visionary communities
 778; Tazz         ; productize vertical synergies
 779; Jaxspan      ; productize 24/7 platforms
 780; Topdrive     ; transform proactive convergence
 781; Skalith      ; e-enable value-added methodologies
 782; Topiczoom    ; exploit out-of-the-box bandwidth
 783; Yabox        ; productize 24/365 methodologies
 784; Tazzy        ; aggregate enterprise architectures
 785; Skimia       ; enable web-enabled channels
 786; Buzzshare    ; harness web-enabled architectures
 787; Divavu       ; orchestrate real-time e-markets
 788; DabZ         ; strategize bleeding-edge infomediaries
 789; Twitterwire  ; enhance B2C methodologies
 790; Edgepulse    ; grow back-end channels
 791; Plambee      ; transition distributed synergies
 792; Tavu         ; optimize innovative infrastructures
 793; Chatterbridge; syndicate virtual experiences
 794; Kwimbee      ; unleash robust solutions
 795; Kwinu        ; mesh e-business e-tailers
 796; Jatri        ; synthesize intuitive e-markets
 797; Midel        ; mesh visionary bandwidth
 798; Yabox        ; seize cross-media infrastructures
 799; Thoughtblab  ; syndicate wireless eyeballs
 800; Youspan      ; envisioneer front-end eyeballs
 801; Pixope       ; incentivize user-centric portals
 802; Kimia        ; maximize cross-media vortals
 803; Cogidoo      ; mesh back-end communities
 804; Twitterworks ; envisioneer mission-critical convergence
 805; Jamia        ; expedite user-centric systems
 806; Photobug     ; architect robust partnerships
 807; Podcat       ; brand bricks-and-clicks bandwidth
 808; Devpoint     ; strategize interactive e-commerce
 809; Devpulse     ; generate intuitive channels
 810; Edgewire     ; whiteboard clicks-and-mortar markets
 811; Ntag         ; deploy compelling e-commerce
 812; Wordpedia    ; drive collaborative systems
 813; Vidoo        ; engineer transparent e-commerce
 814; Izio         ; maximize enterprise methodologies
 815; Eimbee       ; benchmark wireless action-items
 816; Zoomlounge   ; mesh 24/365 channels
 817; Edgewire     ; syndicate back-end partnerships
 818; Dynazzy      ; grow B2C models
 819; Trudeo       ; mesh intuitive experiences
 820; InnoZ        ; syndicate open-source bandwidth
 821; Zooveo       ; generate B2B ROI
 822; Trudoo       ; utilize real-time users
 823; Fivebridge   ; deliver sexy users
 824; Innotype     ; syndicate distributed partnerships
 825; Realfire     ; exploit robust experiences
 826; Zoovu        ; revolutionize value-added supply-chains
 827; Twimm        ; e-enable vertical applications
 828; Wikizz       ; synergize killer e-commerce
 829; Rhynyx       ; innovate sticky applications
 830; Browsebug    ; drive distributed e-markets
 831; Thoughtstorm ; repurpose global infrastructures
 832; Quinu        ; strategize scalable content
 833; Jazzy        ; harness rich users
 834; Shufflester  ; streamline web-enabled web-readiness
 835; Oyoba        ; morph magnetic partnerships
 836; Fiveclub     ; strategize dot-com methodologies
 837; Youbridge    ; e-enable dynamic content
 838; Fanoodle     ; e-enable turn-key synergies
 839; Avamba       ; e-enable granular channels
 840; Tazz         ; scale innovative eyeballs
 841; Roomm        ; brand clicks-and-mortar systems
 842; Skinix       ; aggregate efficient ROI
 843; Jabbercube   ; engage e-business models
 844; Livetube     ; optimize scalable models
 845; Avamm        ; integrate granular interfaces
 846; Kazio        ; integrate customized e-markets
 847; Tekfly       ; generate visionary infomediaries
 848; Brainsphere  ; architect rich communities
 849; Twitterworks ; enable cutting-edge mindshare
 850; Avavee       ; aggregate best-of-breed deliverables
 851; Zoombeat     ; harness sticky channels
 852; Edgewire     ; deliver scalable experiences
 853; Yacero       ; optimize bleeding-edge web services
 854; Thoughtstorm ; target best-of-breed solutions
 855; Thoughtbridge; revolutionize enterprise paradigms
 856; Devcast      ; incentivize sticky e-services
 857; Reallinks    ; target enterprise bandwidth
 858; Skinte       ; morph innovative platforms
 859; Devify       ; envisioneer e-business initiatives
 860; Twitterbridge; enable out-of-the-box schemas
 861; Bubblebox    ; integrate magnetic convergence
 862; Mycat        ; enable dot-com convergence
 863; Skyndu       ; utilize strategic e-business
 864; Innojam      ; synthesize B2B networks
 865; Buzzshare    ; syndicate vertical markets
 866; Blogtags     ; engineer 24/365 bandwidth
 867; Voonte       ; engage granular supply-chains
 868; Yambee       ; grow collaborative mindshare
 869; Einti        ; disintermediate sticky e-business
 870; Babbleset    ; streamline compelling markets
 871; Thoughtbridge; matrix intuitive e-business
 872; Livetube     ; optimize dynamic deliverables
 873; Realblab     ; orchestrate leading-edge functionalities
 874; Devify       ; exploit turn-key synergies
 875; Tagpad       ; whiteboard intuitive schemas
 876; Shufflebeat  ; synthesize innovative niches
 877; Skivee       ; scale vertical communities
 878; Fivespan     ; embrace one-to-one e-tailers
 879; Oyondu       ; orchestrate collaborative supply-chains
 880; Flashpoint   ; disintermediate sexy e-business
 881; Quimm        ; integrate bleeding-edge initiatives
 882; Innotype     ; optimize enterprise e-commerce
 883; Feedfire     ; e-enable bleeding-edge solutions
 884; Abata        ; generate visionary users
 885; Tagcat       ; enable collaborative initiatives
 886; Centizu      ; incentivize cross-platform web services
 887; Digitube     ; synergize bricks-and-clicks action-items
 888; Kwinu        ; drive frictionless methodologies
 889; Katz         ; target world-class niches
 890; Zoombox      ; facilitate visionary convergence
 891; Talane       ; monetize plug-and-play e-commerce
 892; Wordtune     ; enhance proactive initiatives
 893; Eabox        ; streamline mission-critical initiatives
 894; Babbleset    ; grow real-time e-business
 895; Voonyx       ; strategize e-business content
 896; Yozio        ; repurpose transparent schemas
 897; Livefish     ; brand compelling methodologies
 898; Tanoodle     ; benchmark holistic markets
 899; Gabcube      ; disintermediate collaborative technologies
 900; Centimia     ; seize plug-and-play functionalities
 901; Edgepulse    ; innovate mission-critical infrastructures
 902; Riffpedia    ; expedite holistic deliverables
 903; Browseblab   ; syndicate web-enabled relationships
 904; Agimba       ; whiteboard 24/365 synergies
 905; JumpXS       ; streamline impactful web services
 906; Aibox        ; scale compelling interfaces
 907; Avaveo       ; harness value-added deliverables
 908; Jazzy        ; utilize distributed e-business
 909; Yacero       ; exploit cross-media web-readiness
 910; Dabtype      ; unleash global metrics
 911; Thoughtmix   ; implement innovative markets
 912; Quatz        ; redefine proactive supply-chains
 913; Rhyloo       ; drive sticky eyeballs
 914; Skaboo       ; facilitate 24/7 metrics
 915; Podcat       ; utilize intuitive systems
 916; Ozu          ; optimize transparent content
 917; Latz         ; exploit front-end e-services
 918; Kwilith      ; integrate 24/7 portals
 919; Meevee       ; monetize plug-and-play deliverables
 920; Devshare     ; embrace customized networks
 921; Devshare     ; productize magnetic markets
 922; Tazz         ; deliver B2B e-tailers
 923; Kwilith      ; innovate enterprise portals
 924; Trupe        ; engineer value-added solutions
 925; Pixope       ; reinvent rich web-readiness
 926; Skajo        ; seize leading-edge mindshare
 927; Dynabox      ; deliver efficient technologies
 928; Chatterpoint ; transform killer metrics
 929; Jabbersphere ; scale user-centric infomediaries
 930; Eabox        ; evolve bleeding-edge portals
 931; Babbleset    ; exploit robust platforms
 932; Yamia        ; incubate open-source architectures
 933; Jaxnation    ; empower enterprise solutions
 934; Yacero       ; target leading-edge eyeballs
 935; Photospace   ; expedite compelling methodologies
 936; Oyondu       ; seize bleeding-edge applications
 937; Pixope       ; whiteboard distributed applications
 938; Youtags      ; engineer user-centric content
 939; Youspan      ; transition value-added eyeballs
 940; Skajo        ; cultivate efficient vortals
 941; Skinte       ; harness transparent markets
 942; Zoomdog      ; brand out-of-the-box systems
 943; Browsedrive  ; mesh dynamic portals
 944; Browsebug    ; scale intuitive networks
 945; Flipstorm    ; engage back-end infomediaries
 946; Realbridge   ; synergize sexy supply-chains
 947; Yabox        ; incentivize magnetic paradigms
 948; Riffpath     ; recontextualize open-source channels
 949; Snaptags     ; cultivate seamless networks
 950; Yodo         ; target bricks-and-clicks applications
 951; Voonte       ; drive compelling e-commerce
 952; Bluejam      ; mesh back-end networks
 953; Oyoyo        ; reintermediate world-class initiatives
 954; Gigashots    ; brand sexy supply-chains
 955; Buzzster     ; benchmark proactive markets
 956; Skibox       ; target 24/365 users
 957; Feednation   ; maximize 24/365 communities
 958; DabZ         ; exploit one-to-one web services
 959; Jaxworks     ; innovate proactive applications
 960; Thoughtblab  ; deploy sticky portals
 961; Skimia       ; morph best-of-breed bandwidth
 962; Browseblab   ; synthesize out-of-the-box action-items
 963; Mybuzz       ; morph bleeding-edge bandwidth
 964; Roomm        ; reintermediate impactful e-services
 965; Browseblab   ; engage compelling web-readiness
 966; Cogidoo      ; orchestrate magnetic networks
 967; Wikizz       ; harness 24/7 markets
 968; Midel        ; optimize out-of-the-box experiences
 969; Eidel        ; benchmark cutting-edge mindshare
 970; Aivee        ; visualize magnetic synergies
 971; Nlounge      ; e-enable B2B architectures
 972; Thoughtsphere; expedite frictionless experiences
 973; Mita         ; unleash bleeding-edge technologies
 974; Kimia        ; whiteboard 24/7 applications
 975; Edgeify      ; repurpose web-enabled portals
 976; Dabvine      ; incentivize compelling web-readiness
 977; Cogibox      ; enhance proactive functionalities
 978; Kare         ; cultivate best-of-breed applications
 979; Fliptune     ; innovate viral e-business
 980; Demizz       ; optimize scalable markets
 981; Vidoo        ; benchmark open-source supply-chains
 982; Kwideo       ; grow one-to-one schemas
 983; Twitterbeat  ; transform strategic infrastructures
 984; Vinder       ; iterate next-generation metrics
 985; Realbuzz     ; seize intuitive architectures
 986; Gabvine      ; engineer one-to-one niches
 987; Topiclounge  ; reinvent cross-media content
 988; Kamba        ; utilize mission-critical deliverables
 989; Bubblemix    ; mesh extensible metrics
 990; Photobug     ; recontextualize holistic systems
 991; Kwilith      ; facilitate value-added communities
 992; Thoughtbeat  ; whiteboard user-centric mindshare
 993; Katz         ; iterate impactful deliverables
 994; Youspan      ; disintermediate intuitive methodologies
 995; Tanoodle     ; innovate robust interfaces
 996; Digitube     ; incubate strategic systems
 997; Wikivu       ; maximize virtual e-markets
 998; Eamia        ; disintermediate best-of-breed synergies
 999; Topicware    ; implement bleeding-edge e-commerce
1000; Shuffletag   ; maximize 24/7 supply-chains
